Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
resourceChickenFeetAOODesc,,,,, A rare resource use in crafting,,,,,,,,,,,,,,
resourceZebraPeltAOO,,,,,Zebra Pelt,,,,,,,,,,,,,,
resourceZebraPeltAOODesc,,,,, A resource use in crafting.  Can be made into multiple pieces of Leather.,,,,,,,,,,,,,,
BegginerModeAOO,,,,,Beginner Mode,,,,,,,,,,,,,,
BegginerModeAOODesc,,,,, "Begginer mode will help you survive the beggining of your journey.  You  will do more damage, receive less damage, have more health and stamina but only until you die or Reach level 11 and then it will all be gone.",,,,,,,,,,,,,,
resourceGreenSlimeAOO,,,,,Green Slime,,,,,,,,,,,,,,
resourceGreenSlimeAOODesc,,,,,Obtained by harvesting Green Slime Monsters! Used in crafting!,,,,,,,,,,,,,,
JunctionBoxAOO,,,,,Wireless Junction Box,,,,,,,,,,,,,,
JunctionBoxAOODesc,,,,,Wireless Junction Box,,,,,,,,,,,,,,
JunctionBox2AOO,,,,,Wireless Junction Box,,,,,,,,,,,,,,
JunctionBox2AOODesc,,,,,Wireless Junction Box,,,,,,,,,,,,,,
doorKeycardBlackClosedAOO,,,,,Locked - Use Black Keycard to Open,,,,,,,,,,,,,,
doorKeycardBlueClosedAOO,,,,,Locked - Use Blue Keycard to Open,,,,,,,,,,,,,,
doorKeycardRedClosedAOO,,,,,Locked - Use Red Keycard to Open,,,,,,,,,,,,,,
floorHatch01_AOO,,,,,Locked - Use Lockpick to Open,,,,,,,,,,,,,,
floorHatch01Unlocked_AOO,,,,,Unlocked,,,,,,,,,,,,,,
BeginnerModeAOO,,,,,Beginner Mode (Lasts until you die or level 11),,,,,,,,,,,,,,
SkullTokenAOO,,,,,Skull Token,,,,,,,,,,,,,,
SkullTokenAOODesc,,,,,Use these tokens to purchase elite items from the Elite Traders located  under some traders.,,,,,,,,,,,,,,
resourceTeleportPart1AOO,,,,,Teleporter Part #1,,,,,,,,,,,,,,
resourceTeleportPart1AOODesc,,,,,Use with 7 other parts to fix teleporter outside of Turdlingers Research Facility,,,,,,,,,,,,,,
resourceTeleportPart2AOO,,,,,Teleporter Part #2,,,,,,,,,,,,,,
resourceTeleportPart2AOODesc,,,,,Use with 7 other parts to fix teleporter outside of Turdlingers Research Facility,,,,,,,,,,,,,,
resourceTeleportPart3AOO,,,,,Teleporter Part #3,,,,,,,,,,,,,,
resourceTeleportPart3AOODesc,,,,,Use with 7 other parts to fix teleporter outside of Turdlingers Research Facility,,,,,,,,,,,,,,
resourceTeleportPart4AOO,,,,,Teleporter Part #4,,,,,,,,,,,,,,
resourceTeleportPart4AOODesc,,,,,Use with 7 other parts to fix teleporter outside of Turdlingers Research Facility,,,,,,,,,,,,,,
resourceTeleportPart5AOO,,,,,Teleporter Part #5,,,,,,,,,,,,,,
resourceTeleportPart5AOODesc,,,,,Use with 7 other parts to fix teleporter outside of Turdlingers Research Facility,,,,,,,,,,,,,,
resourceTeleportPart6AOO,,,,,Teleporter Part #6,,,,,,,,,,,,,,
resourceTeleportPart6AOODesc,,,,,Use with 7 other parts to fix teleporter outside of Turdlingers Research Facility,,,,,,,,,,,,,,
resourceTeleportPart7AOO,,,,,Teleporter Part #7,,,,,,,,,,,,,,
resourceTeleportPart7AOODesc,,,,,Use with 7 other parts to fix teleporter outside of Turdlingers Research Facility,,,,,,,,,,,,,,
resourceTeleportPart8AOO,,,,,Teleporter Part #8,,,,,,,,,,,,,,
resourceTeleportPart8AOODesc,,,,,Use with 7 other parts to fix teleporter outside of Turdlingers Research Facility,,,,,,,,,,,,,,
PetSpawner,,,,,When reading this item your pet will spawn next to you. There will be about a 20 second delay before you are able to interact with him/her.,,,,,,,,,,,,,,
RandomAnimalSpawner_AOO,,,,,Random Animal,,,,,,,,,,,,,,
PetGoatSpawner_AOO,,,,,Pet Goat,,,,,,,,,,,,,,
PetRabbitSpawner_AOO,,,,,Pet Rabbit,,,,,,,,,,,,,,
PetCaneCorsoSpawner_AOO,,,,,Pet Cane Corso,,,,,,,,,,,,,,
PetCatSpawner_AOO,,,,,Pet Cat ,,,,,,,,,,,,,,
PetCatV2Spawner_AOO,,,,,Pet Cat ,,,,,,,,,,,,,,
PetCatV3Spawner_AOO,,,,,Pet Cat ,,,,,,,,,,,,,,
PetWolfHoundSpawner_AOO,,,,,Pet Celtic Wolfhound ,,,,,,,,,,,,,,
PetHellenicHoundSpawner_AOO,,,,,Pet Hellenic Hound ,,,,,,,,,,,,,,
PetHorseV1Spawner_AOO,,,,,Pet Horse ,,,,,,,,,,,,,,
PetHorseV2Spawner_AOO,,,,,Pet Horse ,,,,,,,,,,,,,,
PetHorseV3Spawner_AOO,,,,,Pet Horse ,,,,,,,,,,,,,,
PetHorseV4Spawner_AOO,,,,,Pet Horse ,,,,,,,,,,,,,,
PetHorseV5Spawner_AOO,,,,,Pet Horse ,,,,,,,,,,,,,,
PetHorseV6Spawner_AOO,,,,,Pet Horse ,,,,,,,,,,,,,,
PetPigSpawner_AOO,,,,,Pet Pig,,,,,,,,,,,,,,
PetPenguinSpawner_AOO,,,,,Pet Penguin,,,,,,,,,,,,,,
PetChickenV1Spawner_AOO,,,,,Pet Chicken ,,,,,,,,,,,,,,
PetChickenV2Spawner_AOO,,,,,Pet Chicken ,,,,,,,,,,,,,,
PetChickenV3Spawner_AOO,,,,,Pet Chicken ,,,,,,,,,,,,,,
PetPugSpawner_AOO,,,,,Pet Pug,,,,,,,,,,,,,,
PetBeagleSpawner_AOO,,,,,Pet Beagle,,,,,,,,,,,,,,
PetGooseSpawner_AOO,,,,,Pet Goose,,,,,,,,,,,,,,
WildBrownBearSpawner_AOO,,,,,Wild Brown Bear,,,,,,,,,,,,,,
WildZebraSpawner_AOO,,,,,Wild Zebra,,,,,,,,,,,,,,
WildLeopardSpawner_AOO,,,,,Wild Leopard,,,,,,,,,,,,,,
WildComodoDragonSpawner_AOO,,,,,Wild Comodo Dragon,,,,,,,,,,,,,,
WildSheepSpawner_AOO,,,,, Wild Sheep,,,,,,,,,,,,,,
WildTurtleSpawner_AOO,,,,, Wild Turtle,,,,,,,,,,,,,,
WildGooseSpawner_AOO,,,,, Wild Goose,,,,,,,,,,,,,,
WildChickensSpawner_AOO,,,,, Wild Chicken,,,,,,,,,,,,,,
WildPenguinSpawner_AOO,,,,,Wild Penquin,,,,,,,,,,,,,,
WildCamelSpawner_AOO,,,,, Wild Camel,,,,,,,,,,,,,,
WildTigerSpawner_AOO,,,,, Wild Tiger,,,,,,,,,,,,,,
WildScottlandCattleSpawner_AOO,,,,,Wild Scotland Cattle,,,,,,,,,,,,,,
WildRhinoSpawner_AOO,,,,, Wild Rhino,,,,,,,,,,,,,,
WildPigSpawner_AOO,,,,,Wild Pig,,,,,,,,,,,,,,
WildLonghornCattleSpawner_AOO,,,,,Wild Longhorn,,,,,,,,,,,,,,
WildScorpionSpawner_AOO,,,,,Wild Scorpion,,,,,,,,,,,,,,
WildCelticWolfhoundSpawner_AOO,,,,,Wild Celtic Wolfhound,,,,,,,,,,,,,,
WildCapeBuffaloSpawner_AOO,,,,,Wild Cape Buffalo,,,,,,,,,,,,,,
WildRabbitSpawner_AOO,,,,, Wild Rabbit,,,,,,,,,,,,,,
WildGoatSpawner_AOO,,,,, Wild Goat,,,,,,,,,,,,,,
WildWolfSpawner_AOO,,,,, Wild Wolf,,,,,,,,,,,,,,
WildElephantSpawner_AOO,,,,,Wild Elephant,,,,,,,,,,,,,,
WildDeerMaleSpawner_AOO,,,,,Wild Deer,,,,,,,,,,,,,,
WildDeerFemaleSpawner_AOO,,,,,Wild Deer,,,,,,,,,,,,,,
WildIbexSpawner_AOO,,,,,Wild Ibex,,,,,,,,,,,,,,
blackKeyAOO,,,,,Black Key Card,,,,,,,,,,,,,,
blueKeyAOO,,,,,Blue Key Card,,,,,,,,,,,,,,
redKeyAOO,,,,,Red Key Card,,,,,,,,,,,,,,
blackKeyAOODesc,,,,,Used to unlock black key card readers that are located in the hidden chambers under the Traders. Equip and right click on the door to open.,,,,,,,,,,,,,,
blueKeyAOODesc,,,,,Used to unlock blue key card readers that are located in the hidden chambers under the Traders. Equip and right click on the door to open.,,,,,,,,,,,,,,
redKeyAOODesc,,,,,Used to unlock red key card readers that are located in the hidden chambers under the Traders. Equip and right click on the door to open.,,,,,,,,,,,,,,
testminer,,,,,Monster Auto Miner (Ready),,,,,,,,,,,,,,
testminer2,,,,,Monster Auto Miner (Mining - Please wait),,,,,,,,,,,,,,
Server01_AOO,,,,,Server Rack,,,,,,,,,,,,,,
Server02_AOO,,,,,Server Rack,,,,,,,,,,,,,,
ConsoleSmall_AOO,,,,,Console Station,,,,,,,,,,,,,,
Display2X3_AOO,,,,,Computer Display,,,,,,,,,,,,,,
ComputerDesk01_AOO,,,,,Computer Desk,,,,,,,,,,,,,,
HealthPodEmpty_AOO,,,,,Health Pod,,,,,,,,,,,,,,
HealthPodNW1_AOO,,,,,Health Pod,,,,,,,,,,,,,,
HealthPodNW2_AOO,,,,,Health Pod,,,,,,,,,,,,,,
TubePod01_AOO,,,,,Plant Pod,,,,,,,,,,,,,,
TubePod02_AOO,,,,,Plant Pod,,,,,,,,,,,,,,
TableChairs_AOO,,,,,Table and Chairs,,,,,,,,,,,,,,
CrystalRock_AOO,,,,,Crystal Formation,,,,,,,,,,,,,,
Missles01_AOO,,,,,Missles,,,,,,,,,,,,,,
Rocket01_AOO,,,,,Rocket Ship!  (Gonna take you on a trip),,,,,,,,,,,,,,
SciBarrel_AOO,,,,,Barrels,,,,,,,,,,,,,,
GepettoDesc,,,,, Gepetto! - Rabids Aries Pet Chick,,,,,,,,,,,,,,
resourceRedBananaAOO,,,,,Red Banana's,,,,,,,,,,,,,,
resourceRedBananaAOODesc,,,,,Used to hire Bobo! Harvested from Banana trees using a special Harvest Blade.,,,,,,,,,,,,,,
KyburCrystalAOO,,,,,Kyburium Crystal,,,,,,,,,,,,,,
KyburCrystalAOODesc,,,,,A Valuable Crystal only found  in water. Can be used to generate extreme amoutns of power.,,,,,,,,,,,,,,
KyburCrystal_AOO,,,,,Kyburium Crystal,,,,,,,,,,,,,,
KyburCrystal_AOODesc,,,,,A Valuable Crystal only found  in water. Can be used to generate extreme amoutns of power.,,,,,,,,,,,,,,
wksCloningAOO,,,,,Cloning Station,,,,,,,,,,,,,,
wksCloningAOODesc,,,,,Create Animal and Human Clones! As you Add the tools your Station will expand! You will need and 8X4X8 area to place this station.,,,,,,,,,,,,,,
wksMasterWorkBenchAOO,,,,,Oblivion Master Workbench,,,,,,,,,,,,,,
wksMasterWorkBenchAOODesc,,,,,[abddfc]TYPE: [ffffff]Workstation \n[abddfc]CRAFTING TABLE: [ffffff]None \n[abddfc]UNLOCKED BY: [ffffff]Not Locked\n\n[abddfc]DESCRIPTION:[ffffff]Replaces the standard workbench and is used to craft all other workbenches and WorkBench tools,,,,,,,,,,,,,,
wksDecorationBenchAOO,,,,,Decoration Workbench,,,,,,,,,,,,,,
wksDecorationBenchAOODesc,,,,,Use to craft many Decoration blocks.,,,,,,,,,,,,,,
wksWeaponWorkBenchAOO,,,,,Weapon Workbench,,,,,,,,,,,,,,
wksWeaponWorkBenchAOODesc,,,,,[abddfc]TYPE: [ffffff]Workstation \n\n[abddfc]DESCRIPTION:[ffffff]Used to Craft Weapons,,,,,,,,,,,,,,
wksFarmTableAOO,,,,,Farm Table,,,,,,,,,,,,,,
wksFarmTableAOODesc,,,,,[abddfc]TYPE: [ffffff]Workstation \n[abddfc]CRAFTING TABLE: [ffffff]Oblivion Bench\n[abddfc]UNLOCKED BY: [ffffff]Planting and Farming Skill Level 1\n\n[abddfc]DESCRIPTION: [ffffff]Used to Craft Seeds and Farm Tools,,,,,,,,,,,,,,
wksMinerAOO,,,,,Auto Miner ,,,,,,,,,,,,,,
wksMinerAOODesc,,,,,[ffffff]TYPE: [c7b992]Auto Miner \n[ffffff]CRAFTING TABLE: [c7b992]Oblivion Bench \n[ffffff]DESCRIPTION: [c7b992] Insert Gas to start the process. You may add upto  4 additional Drill Bits to increase production. Beware there is a small chance of drill bits breaking and needing to be replaced.,,,,,,,,,,,,,,
wksAmmoStationAOO,,,,,Elite Ammunition Maker,,,,,,,,,,,,,,
wksAmmoStationAOODesc,,,,,[ffffff]TYPE: [c7b992]Workstation \n[ffffff]CRAFTING TABLE: [c7b992]None \n[ffffff]UNLOCKED BY: [c7b992]Not Locked\n\n[ffffff]DESCRIPTION:[c7b992]Create Bundles of ammo twice as fast and for half the materials!,,,,,,,,,,,,,,
MechanicL2UpgradeAOO,,,,,Mechanics Bench Upgrade Token,,,,,,,,,,,,,,
MechanicL2UpgradeAOODesc,,,,,[ffffff]TYPE: [c7b992]Tool \n[ffffff]CRAFTING TABLE: [c7b992]None \n[ffffff]UNLOCKED BY: [c7b992]Mechanics Skill Level 2 \n\n[ffffff]DESCRIPTION: [c7b992]Equip on your toolbar and right click on the Level 1 Mechancics Bench to upgrade it to Level 2,,,,,,,,,,,,,,
wksForgeAdvancedAOO,,,,,Advanced Forge,,,,,,,,,,,,,,
wksForgeAdvancedAOODesc,,,,,[ffffff]TYPE: [c7b992]Workstation \n[ffffff]CRAFTING TABLE: [c7b992]Oblivion Bench \n[ffffff]UNLOCKED BY: [c7b992]Advanced Forge Skill Level 1\n\n[ffffff]DESCRIPTION: [c7b992]An advanced forge with 3 Slots and enhanced smelting.,,,,,,,,,,,,,,
wksDeepFryerAOO,,,,,Deep Fryer,,,,,,,,,,,,,,
wksDeepFryerAOODesc,,,,,[ffffff]TYPE: [c7b992]Workstation \n[ffffff]CRAFTING TABLE: [c7b992]Oblivion Bench \n[ffffff]UNLOCKED BY: [c7b992]Not Locked\n\n[ffffff]DESCRIPTION: [c7b992]I am sure you know what a Deep Fryer is!,,,,,,,,,,,,,,
wksDrinkDispenserV2_01,,,,,Drink Dispenser #1,,,,,,,,,,,,,,
wksDrinkDispenserV2_01Desc,,,,,"[ffffff]TYPE: [c7b992]Workstation \n[ffffff]CRAFTING TABLE: [c7b992]Oblivion Bench \n[ffffff]DESCRIPTION: [c7b992] Drop your ingredients in, get drink out!",,,,,,,,,,,,,,
wksDrinkDispenserV2_02,,,,,Drink Dispenser #2,,,,,,,,,,,,,,
wksDrinkDispenserV2_02Desc,,,,,"[ffffff]TYPE: [c7b992]Workstation \n[ffffff]CRAFTING TABLE: [c7b992]Oblivion Bench \n[ffffff]DESCRIPTION: [c7b992] Drop your ingredients in, get drink out!",,,,,,,,,,,,,,
powerWorkstationAOO,,,,,Workstation Power Relay ,,,,,,,,,,,,,,
powerWorkstationAOODesc,,,,,[ffffff]TYPE: [c7b992]Power Relay \n[ffffff]CRAFTING TABLE: [c7b992]Oblivion Bench \n[ffffff]DESCRIPTION: [c7b992] Place next to a Powered Workstation and connect to a power source to provide power to the workstation.,,,,,,,,,,,,,,
wksAutoMinerV2,,,,,The Auto Miner ,,,,,,,,,,,,,,
wksAutoMinerV2Desc,,,,,[ffffff]TYPE: [c7b992]The Auto Miner \n[ffffff]CRAFTING TABLE: [c7b992]Oblivion Bench \n[ffffff]DESCRIPTION: [c7b992] Insert Gas to start the process. You may add upto  4 additional Drill Bits to increase production. Requires Stone to be nearby.,,,,,,,,,,,,,,
toolMiningDrillBit1AOO,,,,,Steel Mining Drill Bit ,,,,,,,,,,,,,,
toolMiningDrillBit1AOODesc,,,,,One of 4 additional drill bits you can add to the Auto Miner to increase production.,,,,,,,,,,,,,,
toolMiningDrillBit2AOO,,,,,Iron Mining Drill Bit ,,,,,,,,,,,,,,
toolMiningDrillBit2AOODesc,,,,,One of 4 additional drill bits you can add to the Auto Miner to increase production.,,,,,,,,,,,,,,
toolMiningDrillBit3AOO,,,,,Diamond Mining Drill Bit ,,,,,,,,,,,,,,
toolMiningDrillBit3AOODesc,,,,,One of 4 additional drill bits you can add to the Auto Miner to increase production.,,,,,,,,,,,,,,
toolMiningDrillBit4AOO,,,,,Platinum Mining Drill Bit ,,,,,,,,,,,,,,
toolMiningDrillBit4AOODesc,,,,,One of 4 additional drill bits you can add to the Auto Miner to increase production.,,,,,,,,,,,,,,
wksAlchemyStationAOO,,,,,Alchemy Station Level 1,,,,,,,,,,,,,,
wksAlchemyStation2AOO,,,,,Alchemy Station Level 2,,,,,,,,,,,,,,
wksAlchemyStation3AOO,,,,,Alchemy Station Level 3,,,,,,,,,,,,,,
wksAlchemyStationAOODesc,,,,, "[ffffff]TYPE: [c7b992]Workstation \n[ffffff]CRAFTING TABLE: [c7b992]Oblivion Bench \n[ffffff]UNLOCKED BY: [c7b992]Alchemy Skill Level 1\n\n[ffffff]DESCRIPTION: [c7b992]Upgradeable Workstation! Replaces the Chemistry Station . Upgrade using an upgrade token available by increasing your cloning Skill.",,,,,,,,,,,,,,
wksCloningStationAOO,,,,,Cloning Station Level 1,,,,,,,,,,,,,,
wksCloningStationL2AOO,,,,,Cloning Station Level 2,,,,,,,,,,,,,,
wksCloningStationL3AOO,,,,,Cloning Station Level 3,,,,,,,,,,,,,,
wksCloningStationAOODesc,,,,, "[ffffff]TYPE: [c7b992]Workstation \n[ffffff]CRAFTING TABLE: [c7b992]Oblivion Bench \n[ffffff]UNLOCKED BY: [c7b992]Cloning Skill Level 1\n\n[ffffff]DESCRIPTION: [c7b992]Upgradeable Workstation! Used to Craft Cloning Chambers and Cloning components.",,,,,,,,,,,,,,
wksButcherTableV2,,,,,The Butcher Table,,,,,,,,,,,,,,
wksButcherTableV2Desc,,,,, "[ffffff]TYPE: [c7b992]Workstation \n[ffffff]CRAFTING TABLE: [c7b992]Oblivion Bench \n[ffffff]UNLOCKED BY: [c7b992]AOO Cooking Skill\n\n[ffffff]DESCRIPTION: [c7b992]Used to cut your raw meat into fine quality cuts of meat!",,,,,,,,,,,,,,
wksButcherTableAOO,,,,,Butcher Table,,,,,,,,,,,,,,
wksButcherTableAOODesc,,,,, "[ffffff]TYPE: [c7b992]Workstation \n[ffffff]CRAFTING TABLE: [c7b992]Oblivion Bench \n[ffffff]UNLOCKED BY: [c7b992]Not Locked\n\n[ffffff]DESCRIPTION: [c7b992]Used to cut your raw meat into fine quality cuts of meat!",,,,,,,,,,,,,,
wksMechanicBench1AOO,,,,,Mechanics Bench Level 1,,,,,,,,,,,,,,
wksMechanicBench1AOODesc,,,,, "[ffffff]TYPE: [c7b992]Workstation \n[ffffff]CRAFTING TABLE: [c7b992]Oblivion Bench \n[ffffff]UNLOCKED BY: [c7b992]Mechanics Skill Level 1\n\n[ffffff]DESCRIPTION: [c7b992]Craft Vehicle Repair Kits and Vehicle Parts. Requires Upgrade to Level 2 Using a Mechanics Bench Upgrade Token to be able to Repair and Craft Vehicles",,,,,,,,,,,,,,
wksMechanicBench2AOO,,,,,Mechanics Bench Level 2,,,,,,,,,,,,,,
wksMechanicBench2AOODesc,,,,, "[ffffff]TYPE: [c7b992]Workstation \n[ffffff]CRAFTING TABLE: [c7b992]Not Crafted \n[ffffff]UNLOCKED BY: [c7b992]Mechanics Skill Level 2\n\n[ffffff]DESCRIPTION: [c7b992]Use a Mechanics Bench Upgrade Token to upgrade to this.",,,,,,,,,,,,,,
wksBrewStationAOO,,,,,Brew Station,,,,,,,,,,,,,,
wksBrewStationAOODesc,,,,, "[ffffff]TYPE: [c7b992]Workstation \n[ffffff]CRAFTING TABLE: [c7b992]Oblivion Bench \n[ffffff]UNLOCKED BY: [c7b992]Not Locked\n\n[ffffff]DESCRIPTION: [c7b992]Used to craft many beverages!",,,,,,,,,,,,,,
wksDairyChurnAOO,,,,,Dairy Churn,,,,,,,,,,,,,,
wksDairyChurnAOODesc,,,,, "[ffffff]TYPE: [c7b992]Workstation \n[ffffff]CRAFTING TABLE: [c7b992]Oblivion Bench \n[ffffff]UNLOCKED BY: [c7b992]Not Locked\n\n[ffffff]DESCRIPTION: [c7b992] Used to craft Dairy Products!",,,,,,,,,,,,,,
wksOvensAOO,,,,,All Ovens,,,,,,,,,,,,,,
wksOvensAOODesc,,,,, "[ffffff]TYPE: [c7b992]Workstation Varient\n[ffffff]CRAFTING TABLE: [c7b992]Oblivion Bench \n[ffffff]UNLOCKED BY: [c7b992]Not Locked\n\n[ffffff]DESCRIPTION: [c7b992]Variant Block used to place All Ovens.",,,,,,,,,,,,,,
wksGasOvenAOO,,,,,Gas Oven Model 01,,,,,,,,,,,,,,
wksGasOvenAOODesc,,,,, "[ffffff]TYPE: [c7b992]Workstation \n[ffffff]CRAFTING TABLE: [c7b992]Oblivion Bench \n[ffffff]UNLOCKED BY: [c7b992]Not Locked\n\n[ffffff]DESCRIPTION: [c7b992]Craft more food Can replace the Campfire.",,,,,,,,,,,,,,
wksGasOven2AOO,,,,,Gas Oven Model 02,,,,,,,,,,,,,,
wksGasOven2AOODesc,,,,, "[ffffff]TYPE: [c7b992]Workstation \n[ffffff]CRAFTING TABLE: [c7b992]Oblivion Bench \n[ffffff]UNLOCKED BY: [c7b992]Not Locked\n\n[ffffff]DESCRIPTION: [c7b992]Craft more food Can replace the Campfire.",,,,,,,,,,,,,,
wksGasOven3AOO,,,,,Gas Oven Model 03,,,,,,,,,,,,,,
wksGasOven3AOODesc,,,,, "[ffffff]TYPE: [c7b992]Workstation \n[ffffff]CRAFTING TABLE: [c7b992]Oblivion Bench \n[ffffff]UNLOCKED BY: [c7b992]Not Locked\n\n[ffffff]DESCRIPTION: [c7b992]Craft more food Can replace the Campfire.",,,,,,,,,,,,,,
wksGasOven4AOO,,,,,Gas Oven Model 04,,,,,,,,,,,,,,
wksGasOven4AOODesc,,,,, "[ffffff]TYPE: [c7b992]Workstation \n[ffffff]CRAFTING TABLE: [c7b992]Oblivion Bench \n[ffffff]UNLOCKED BY: [c7b992]Not Locked\n\n[ffffff]DESCRIPTION: [c7b992]Craft more food Can replace the Campfire.",,,,,,,,,,,,,,
wksGasOven5AOO,,,,,Gas Oven Model 05,,,,,,,,,,,,,,
wksGasOven5AOODesc,,,,, "[ffffff]TYPE: [c7b992]Workstation \n[ffffff]CRAFTING TABLE: [c7b992]Oblivion Bench \n[ffffff]UNLOCKED BY: [c7b992]Not Locked\n\n[ffffff]DESCRIPTION: [c7b992]Craft more food Can replace the Campfire.",,,,,,,,,,,,,,
wksPizzaOvenAOO,,,,,Pizza Oven,,,,,,,,,,,,,,
wksPizzaOvenAOODesc,,,,, "[ffffff]TYPE: [c7b992]Workstation \n[ffffff]CRAFTING TABLE: [c7b992]Oblivion Bench \n[ffffff]UNLOCKED BY: [c7b992]Not Locked\n\n[ffffff]DESCRIPTION: [c7b992]Craft Pizza!",,,,,,,,,,,,,,
wksKitchNaidAOO,,,,,KitchNaid,,,,,,,,,,,,,,
wksKitchNaidAOODesc,,,,, "[ffffff]TYPE: [c7b992]Workstation \n[ffffff]CRAFTING TABLE: [c7b992]Oblivion Bench \n[ffffff]UNLOCKED BY: [c7b992]Not Locked\n\n[ffffff]DESCRIPTION: [c7b992]Prepare and process raw foods to be used as ingredients",,,,,,,,,,,,,,
wksSmokersAOO,,,,, All Smokers,,,,,,,,,,,,,,
wksSmokersAOODesc,,,,, "[ffffff]TYPE: [c7b992]Workstation Varient \n[ffffff]CRAFTING TABLE: [c7b992]Oblivion Bench \n[ffffff]UNLOCKED BY: [c7b992]Not Locked\n\n[ffffff]DESCRIPTION: [c7b992]Variant Block used to place All Smokers",,,,,,,,,,,,,,
wksRusticSmokerAOO,,,,, Rustic Smoker,,,,,,,,,,,,,,
wksRusticSmokerAOODesc,,,,, "[ffffff]TYPE: [c7b992]Workstation \n[ffffff]CRAFTING TABLE: [c7b992]Oblivion Bench \n[ffffff]UNLOCKED BY: [c7b992]Not Locked\n\n[ffffff]DESCRIPTION: [c7b992]Craft more food.",,,,,,,,,,,,,,
wksColdSmokerAOO,,,,, Cold Smoker,,,,,,,,,,,,,,
wksColdSmokerAOODesc,,,,, "[ffffff]TYPE: [c7b992]Workstation \n[ffffff]CRAFTING TABLE: [c7b992]Oblivion Bench \n[ffffff]UNLOCKED BY: [c7b992]Not Locked\n\n[ffffff]DESCRIPTION: [c7b992]Craft more food.",,,,,,,,,,,,,,
wksGrillsAOO,,,,, All Grills,,,,,,,,,,,,,,
wksGrillsAOODesc,,,,, "[ffffff]TYPE: [c7b992]Workstation Varient \n[ffffff]CRAFTING TABLE: [c7b992]Oblivion Bench \n[ffffff]UNLOCKED BY: [c7b992]Not Locked\n\n[ffffff]DESCRIPTION: [c7b992]Variant Block used to place All Grills",,,,,,,,,,,,,,
wksWebberGrillAOO,,,,, Webber Grill,,,,,,,,,,,,,,
wksWebberGrillAOODesc,,,,, "[ffffff]TYPE: [c7b992]Workstation \n[ffffff]CRAFTING TABLE: [c7b992]Oblivion Bench \n[ffffff]UNLOCKED BY: [c7b992]Not Locked\n\n[ffffff]DESCRIPTION: [c7b992]Craft more food Can replace the Campfire.",,,,,,,,,,,,,,
wksWebberGrill2AOO,,,,, Broil King Grill,,,,,,,,,,,,,,
wksWebberGrill2AOODesc,,,,, "[ffffff]TYPE: [c7b992]Workstation \n[ffffff]CRAFTING TABLE: [c7b992]Oblivion Bench \n[ffffff]UNLOCKED BY: [c7b992]Not Locked\n\n[ffffff]DESCRIPTION: [c7b992]Craft more food Can replace the Campfire.",,,,,,,,,,,,,,
wksWoodGrillAOO,,,,, Wood Grill Model 01,,,,,,,,,,,,,,
wksWoodGrillAOODesc,,,,, "[ffffff]TYPE: [c7b992]Workstation \n[ffffff]CRAFTING TABLE: [c7b992]Oblivion Bench \n[ffffff]UNLOCKED BY: [c7b992]Not Locked\n\n[ffffff]DESCRIPTION: [c7b992]Craft more food Can replace the Campfire.",,,,,,,,,,,,,,
wksWoodGrill2AOO,,,,, Wood Grill Model 02,,,,,,,,,,,,,,
wksWoodGrill2AOODesc,,,,, "[ffffff]TYPE: [c7b992]Workstation \n[ffffff]CRAFTING TABLE: [c7b992]Oblivion Bench \n[ffffff]UNLOCKED BY: [c7b992]Not Locked\n\n[ffffff]DESCRIPTION: [c7b992]Craft more food Can replace the Campfire.",,,,,,,,,,,,,,
wksWoodGrill3AOO,,,,, Wood Grill Model 03,,,,,,,,,,,,,,
wksWoodGrill3AOODesc,,,,, "[ffffff]TYPE: [c7b992]Workstation \n[ffffff]CRAFTING TABLE: [c7b992]Oblivion Bench \n[ffffff]UNLOCKED BY: [c7b992]Not Locked\n\n[ffffff]DESCRIPTION: [c7b992]Craft more food Can replace the Campfire.",,,,,,,,,,,,,,
wksRustyGrillAOO,,,,, Rusty Grill,,,,,,,,,,,,,,
wksRustyGrillAOODesc,,,,, "[ffffff]TYPE: [c7b992]Workstation \n[ffffff]CRAFTING TABLE: [c7b992]Oblivion Bench \n[ffffff]UNLOCKED BY: [c7b992]Not Locked\n\n[ffffff]DESCRIPTION: [c7b992]Craft more food Can replace the Campfire.",,,,,,,,,,,,,,
wksQuestStationAOO,,,,, Quest Table,,,,,,,,,,,,,,
wksQuestStationAOODesc,,,,, "[ffffff]TYPE: [c7b992]Workstation \n[ffffff]CRAFTING TABLE: [c7b992]Oblivion Bench \n[ffffff]UNLOCKED BY: [c7b992]Not Locked\n\n[ffffff]DESCRIPTION: [c7b992]Table for Crafting all of your Quests!",,,,,,,,,,,,,,
wksTransmogrifierAOO,,,,, Transmogrifier,,,,,,,,,,,,,,
wksTransmogrifierAOODesc,,,,, "[ffffff]TYPE: [c7b992]Workstation \n[ffffff]CRAFTING TABLE: [c7b992]Oblivion Bench \n[ffffff]UNLOCKED BY: [c7b992]Not Locked\n\n[ffffff]DESCRIPTION: [c7b992]Convert your incomplete clones to any clone you like!",,,,,,,,,,,,,,
toolBellowsx40AOO,,,,,Advanced Bellows Lvl 1,,,,,,,,,,,,,,
